FERTIALT_NOM_ITK;;ble_tousSols_nonirr_organique;ble_tousSols_nonirr_organique;ble_tousSols_nonirr_organique;ble_tousSols_nonirr_mineral;ble_tousSols_nonirr_mineral;ble_tousSols_nonirr_mineral;mais_tousSols_irr_organique;mais_tousSols_irr_organique;mais_tousSols_irr_organique;mais_tousSols_irr_organique;mais_tousSols_nonirr_organique;mais_tousSols_nonirr_organique;mais_tousSols_nonirr_organique;mais_tousSols_nonirr_organique;orgeH_tousSols_nonirr_mineral;orgeH_tousSols_nonirr_mineral;colza_tousSols_nonirr_mineral;colza_tousSols_nonirr_mineral;ble_tousSols_irr_organique;ble_tousSols_irr_organique;ble_tousSols_irr_organique;ble_tousSols_irr_mineral;ble_tousSols_irr_mineral;ble_tousSols_irr_mineral;colza_tousSols_irr_mineral;colza_tousSols_irr_mineral;colza_tousSols_irr_organique;colza_tousSols_irr_organique;colza_tousSols_nonirr_organique;colza_tousSols_nonirr_organique;orgeH_tousSols_irr_mineral;orgeH_tousSols_irr_mineral;mais_tousSols_irr_mineral;mais_tousSols_irr_mineral;mais_tousSols_irr_mineral;mais_tousSols_irr_mineral;mais_tousSols_nonirr_mineral;mais_tousSols_nonirr_mineral;mais_tousSols_nonirr_mineral;mais_tousSols_nonirr_mineral;colza_tousSols_irr_organique;colza_tousSols_irr_organique;colza_tousSols_irr_organique;colza_tousSols_nonirr_organique;colza_tousSols_nonirr_organique;colza_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_nonirr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;orgeH_tousSols_irr_organique;loliumPerenne_TousSols_min;loliumPerenne_TousSols_min;loliumPerenne_TousSols_min;loliumPerenne_TousSols_min;loliumPerenne_TousSols_irr_min;loliumPerenne_TousSols_irr_min;loliumPerenne_TousSols_irr_min;loliumPerenne_TousSols_irr_min;maisDP_accalmie;maisDP_accalmie;maisDP_accalmie;maisDP_accalmie;MaisEnsil_preCI_accalmie;MaisEnsil_preCI_accalmie;MaisEnsil_preCI_accalmie;tour_accalmie;tour_accalmie;tour_accalmie;orgep_accalmie;orgep_accalmie;PrairieP_ammo_typeA_F;PrairieP_ammo_typeA_P;PrairieP_ammo_typeA_FP;PrairieP_ammo_typeB_F;PrairieP_ammo_typeB_P;PrairieP_ammo_typeB_FP
FERTIALT_CUMUL_PLUIE_EVA;P-ETP_MAX;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_TEMP_MIN;JOURS_TMIN;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5|3;NA;NA;5|3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_TEMP_MIN;TMIN_MIN;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8|8;NA;NA;8|8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_TEMP_MAX;;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_TEMP_MAX;;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_TEMP_MAX_INF;;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_TEMP_MAX_INF;;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_SEUIL_VEGE;ECHV_MIN;NA|NA;0.51;NA|NA;NA|NA;NA;0.51;NA|NA;0.3;0.16;NA|NA;NA|NA;NA|NA;0.16;0.3;NA;NA;NA;NA;NA|NA;0.51;NA|NA;NA|NA;NA;0.51;NA;NA;NA;NA;NA;NA;NA;NA;0.16;NA;NA|NA;0.3;0.3;NA|NA;0.16;NA;NA|NA;0.3|0.1;0.4|0.1;NA|NA;0.3|0.1;0.4|0.1;NA|NA;0.23|0.06;NA|NA;NA|NA;0.23|0.06;NA|NA;NA|NA;0.23|0.06;NA|NA;NA|NA;0.23|0.06;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_SEUIL_VEGE_PRE;ECHV_DEBUT;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_SEUIL_VEGE_POST;ECHV_FIN;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_N_J_CUMUL_PLUIE_PREVUE;JOURS_PLUIE_PREVUES;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;3|3;3|3;NA|NA;3|3;3|3;NA|NA;3|1;3|1;8|8;3|1;3|1;NA|NA;3|1;3|1;8|8;3|1;3|1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTIALT_CUMUL_PLUIE_PREVUE;HAUTEURS_PLUIE_PREVUES;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA|NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA|NA;10|0;10|0;NA|NA;10|0;10|0;NA|NA;10|0;10|0;20|0;10|0;10|0;NA|NA;10|0;10|0;20|0;10|0;10|0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA|NA;NA;NA;NA|NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
