mineral_beauce_17;beauce_17_1;
mineral_beauce_29;beauce_29_1;
mineral_beauce_41;beauce_41_1;
mineral_beauce_23;beauce_23_1;
mineral_beauce_35;beauce_35_1;
mineral_beauce_47;beauce_47_1;
organique_beauce_13;beauce_13_1;
organique_beauce_25;beauce_25_1;
organique_beauce_37;beauce_37_1;
organique_beauce_19;beauce_19_1;
organique_beauce_31;beauce_31_1;
organique_beauce_43;beauce_43_1;
mineral_beauce_2;beauce_2_1;
mineral_beauce_6;beauce_6_1;
mineral_beauce_10;beauce_10_1;
mineral_beauce_4;beauce_4_1;
mineral_beauce_8;beauce_8_1;
mineral_beauce_12;beauce_12_1;
organique_beauce_1;beauce_1_1;
organique_beauce_5;beauce_5_1;
organique_beauce_9;beauce_9_1;
organique_beauce_3;beauce_3_1;
organique_beauce_7;beauce_7_1;
organique_beauce_11;beauce_11_1;
mineral_beauce_16;beauce_16_1;
mineral_beauce_28;beauce_28_1;
mineral_beauce_40;beauce_40_1;
mineral_beauce_22;beauce_22_1;
mineral_beauce_34;beauce_34_1;
mineral_beauce_46;beauce_46_1;
organique_beauce_14;beauce_14_1;
organique_beauce_26;beauce_26_1;
organique_beauce_38;beauce_38_1;
organique_beauce_20;beauce_20_1;
organique_beauce_32;beauce_32_1;
organique_beauce_44;beauce_44_1;
mineral_beauce_18;beauce_18_1;
mineral_beauce_30;beauce_30_1;
mineral_beauce_42;beauce_42_1;
mineral_beauce_24;beauce_24_1;
mineral_beauce_36;beauce_36_1;
mineral_beauce_48;beauce_48_1;
organique_beauce_15;beauce_15_1;
organique_beauce_27;beauce_27_1;
organique_beauce_39;beauce_39_1;
organique_beauce_21;beauce_21_1;
organique_beauce_33;beauce_33_1;
organique_beauce_45;beauce_45_1;
mineral_oceanique_2;oceanique_2_1;
mineral_oceanique_4;oceanique_4_1;
mineral_oceanique_6;oceanique_6_1;
organique_oceanique_1;oceanique_1_1;
organique_oceanique_3;oceanique_3_1;
organique_oceanique_5;oceanique_5_1;
mineral_oceanique_11;oceanique_11_1;
mineral_oceanique_17;oceanique_17_1;
mineral_oceanique_23;oceanique_23_1;
organique_oceanique_7;oceanique_7_1;
organique_oceanique_13;oceanique_13_1;
organique_oceanique_19;oceanique_19_1;
mineral_oceanique_10;oceanique_10_1;
mineral_oceanique_16;oceanique_16_1;
mineral_oceanique_22;oceanique_22_1;
organique_oceanique_8;oceanique_8_1;
organique_oceanique_14;oceanique_14_1;
organique_oceanique_20;oceanique_20_1;
mineral_oceanique_12;oceanique_12_1;
mineral_oceanique_18;oceanique_18_1;
mineral_oceanique_24;oceanique_24_1;
organique_oceanique_9;oceanique_9_1;
organique_oceanique_15;oceanique_15_1;
organique_oceanique_21;oceanique_21_1;
mineral_sudouest_27;sudouest_27_1;
mineral_sudouest_35;sudouest_35_1;
mineral_sudouest_43;sudouest_43_1;
mineral_sudouest_31;sudouest_31_1;
mineral_sudouest_39;sudouest_39_1;
mineral_sudouest_47;sudouest_47_1;
organique_sudouest_25;sudouest_25_1;
organique_sudouest_33;sudouest_33_1;
organique_sudouest_41;sudouest_41_1;
organique_sudouest_29;sudouest_29_1;
organique_sudouest_37;sudouest_37_1;
organique_sudouest_45;sudouest_45_1;
mineral_sudouest_28;sudouest_28_1;
mineral_sudouest_36;sudouest_36_1;
mineral_sudouest_44;sudouest_44_1;
mineral_sudouest_32;sudouest_32_1;
mineral_sudouest_40;sudouest_40_1;
mineral_sudouest_48;sudouest_48_1;
organique_sudouest_26;sudouest_26_1;
organique_sudouest_34;sudouest_34_1;
organique_sudouest_42;sudouest_42_1;
organique_sudouest_30;sudouest_30_1;
organique_sudouest_38;sudouest_38_1;
organique_sudouest_46;sudouest_46_1;
mineral_sudouest_14;sudouest_14_1;
mineral_sudouest_18;sudouest_18_1;
mineral_sudouest_22;sudouest_22_1;
mineral_sudouest_16;sudouest_16_1;
mineral_sudouest_20;sudouest_20_1;
mineral_sudouest_24;sudouest_24_1;
organique_sudouest_13;sudouest_13_1;
organique_sudouest_17;sudouest_17_1;
organique_sudouest_21;sudouest_21_1;
